2025-09-25 03:48:26,615 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 04:02:04,427 | INFO | BotMonitor | 📊 Loaded historical metrics
2025-09-25 04:02:04,427 | INFO | BotMonitor | 🚀 Monitoring system initialized (task start deferred)
2025-09-25 04:02:08,780 | ERROR | BotMonitor | Failed to get bot metrics: no such table: users
2025-09-25 04:02:08,780 | INFO | BotMonitor | 🖥️  System: CPU 28.2%, RAM 61.7%, Latency 111.01ms
2025-09-25 04:02:08,781 | INFO | BotMonitor | 🤖 Bot: 0 guilds, 0 registered users, 0 recent commands
2025-09-25 04:02:08,781 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 04:07:21,570 | INFO | BotMonitor | 📊 Loaded historical metrics
2025-09-25 04:07:21,570 | INFO | BotMonitor | 🚀 Monitoring system initialized (task start deferred)
2025-09-25 04:07:25,963 | WARNING | BotMonitor | Monitoring DB unavailable or missing tables, continuing with zeroed registered users: no such table: users
2025-09-25 04:07:25,963 | INFO | BotMonitor | 🖥️  System: CPU 31.4%, RAM 61.3%, Latency 108.42ms
2025-09-25 04:07:25,963 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 0 registered users, 0 recent commands
2025-09-25 04:07:25,964 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 04:10:56,364 | INFO | BotMonitor | 📊 Loaded historical metrics
2025-09-25 04:10:56,364 | INFO | BotMonitor | 🚀 Monitoring system initialized (task start deferred)
2025-09-25 04:11:00,672 | WARNING | BotMonitor | Monitoring DB unavailable or missing tables, continuing with zeroed registered users: no such table: users
2025-09-25 04:11:00,672 | INFO | BotMonitor | 🖥️  System: CPU 50.9%, RAM 62.1%, Latency 108.15ms
2025-09-25 04:11:00,672 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 0 registered users, 0 recent commands
2025-09-25 04:11:00,673 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 13:04:55,864 | INFO | BotMonitor | 📊 Loaded historical metrics
2025-09-25 13:04:55,865 | INFO | BotMonitor | 🚀 Monitoring system initialized (task start deferred)
2025-09-25 13:05:00,153 | ERROR | BotMonitor | Failed to get system metrics: [WinError 2] The system cannot find the file specified: 'database.db'
2025-09-25 13:05:00,154 | WARNING | BotMonitor | Monitoring DB unavailable or missing tables, continuing with zeroed registered users: no such table: users
2025-09-25 13:05:00,154 | INFO | BotMonitor | 🖥️  System: CPU 0%, RAM 0%, Latency 0ms
2025-09-25 13:05:00,154 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 0 registered users, 0 recent commands
2025-09-25 13:05:00,155 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 13:05:42,439 | INFO | BotMonitor | 📊 Loaded historical metrics
2025-09-25 13:05:42,440 | INFO | BotMonitor | 🚀 Monitoring system initialized (task start deferred)
2025-09-25 13:05:46,900 | ERROR | BotMonitor | Failed to get system metrics: [WinError 2] The system cannot find the file specified: 'database.db'
2025-09-25 13:05:46,901 | WARNING | BotMonitor | Monitoring DB unavailable or missing tables, continuing with zeroed registered users: no such table: users
2025-09-25 13:05:46,901 | INFO | BotMonitor | 🖥️  System: CPU 0%, RAM 0%, Latency 0ms
2025-09-25 13:05:46,902 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 0 registered users, 0 recent commands
2025-09-25 13:05:46,902 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 13:09:47,808 | INFO | BotMonitor | 📊 Loaded historical metrics
2025-09-25 13:09:47,808 | INFO | BotMonitor | 🚀 Monitoring system initialized (task start deferred)
2025-09-25 13:09:51,995 | INFO | BotMonitor | 🖥️  System: CPU 23.8%, RAM 43.8%, Latency 106.24ms
2025-09-25 13:09:51,995 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:09:51,996 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 13:14:52,010 | INFO | BotMonitor | 🖥️  System: CPU 30.8%, RAM 43.4%, Latency 107.31ms
2025-09-25 13:14:52,010 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 13:15:43,460 | ERROR | BotMonitor | 🚨 Error recorded: CommandNotFound: Command "changelog" is not found | Guild: 897814031346319382 | Command: unknown
2025-09-25 13:19:52,000 | INFO | BotMonitor | 🖥️  System: CPU 48.0%, RAM 44.2%, Latency 110.71ms
