[2025-09-24 20:27:59,963] [INFO] Saved last run timestamp 2025-09-24T19:27:59.314290 to data/manga_scan_meta.json
[2025-09-24 20:28:07,416] [INFO] Finisher cog initialized
[2025-09-24 20:28:09,897] [INFO] Finisher cog initialized
[2025-09-24 20:28:09,903] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp3j1pa2ey\manga_scan_test.json
[2025-09-24 20:28:09,905] [INFO] Saved configured channel 5555 for guild 9999 to C:\Users\benet\AppData\Local\Temp\tmp3j1pa2ey\manga_channel_test.json
[2025-09-24 20:28:09,906] [INFO] Loaded configured channel 5555 for guild 9999
[2025-09-24 20:28:09,907] [INFO] Posting updates to channel dummy
[2025-09-24 20:28:09,907] [INFO] Found 1 new manga updates after filtering
[2025-09-24 20:28:09,907] [INFO] Posting update for manga id=123 title=Big Manga status=FINISHED
[2025-09-24 20:28:09,908] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp3j1pa2ey\manga_scan_test.json
[2025-09-24 20:28:09,908] [INFO] Post updates complete and state saved
[2025-09-24 20:29:28,129] [INFO] Finisher cog initialized
[2025-09-24 20:58:32,565] [INFO] /set_manga_channel invoked by kyerstorm in guild 897814031346319382 -> channel 1420499306300969063
[2025-09-24 20:58:32,911] [INFO] Saved configured channel 1420499306300969063 for guild 897814031346319382 to data/manga_channel.json
[2025-09-24 20:58:32,911] [INFO] Configured manga updates for guild 897814031346319382 -> channel 1420499306300969063
[2025-09-24 21:04:00,712] [INFO] Finisher cog initialized
[2025-09-24 21:04:10,811] [INFO] Finisher cog initialized
[2025-09-24 21:04:20,918] [INFO] Finisher cog initialized
[2025-09-24 21:04:49,168] [INFO] Finisher cog initialized
[2025-09-24 21:05:01,281] [INFO] Finisher cog initialized
[2025-09-24 21:05:11,389] [INFO] Finisher cog initialized
[2025-09-24 21:05:14,483] [INFO] Finisher cog initialized
[2025-09-24 21:05:14,488] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp9oz1wmnk\manga_scan_test.json
[2025-09-24 21:05:14,490] [INFO] Saved configured channel 5555 for guild 9999 to C:\Users\benet\AppData\Local\Temp\tmp9oz1wmnk\manga_channel_test.json
[2025-09-24 21:05:14,491] [INFO] Loaded configured channel 5555 for guild 9999
[2025-09-24 21:05:14,492] [INFO] Posting manga updates to channel dummy
[2025-09-24 21:05:14,492] [INFO] Found 1 new manga updates after filtering
[2025-09-24 21:05:14,492] [INFO] Posting update for manga id=123 title=Big Manga status=FINISHED
[2025-09-24 21:05:14,493] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp9oz1wmnk\manga_scan_test.json
[2025-09-24 21:05:14,493] [INFO] Post manga updates complete and state saved
[2025-09-24 21:05:43,660] [INFO] Finisher cog initialized
[2025-09-24 21:06:42,134] [INFO] Finisher cog initialized
[2025-09-24 21:06:45,401] [INFO] Finisher cog initialized
[2025-09-24 21:06:45,407] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmpstynlntc\manga_scan_test.json
[2025-09-24 21:06:45,409] [INFO] Saved configured channel 5555 for guild 9999 to C:\Users\benet\AppData\Local\Temp\tmpstynlntc\manga_channel_test.json
